,Unnamed: 0,title,date,geo,rating
2,2,Lesley Ann Poppe,2012,BE,3
3,3,Michelle Martin,2012,BE,4
4,4,Kaat Tilley,2012,BE,5
5,5,Rob Goris,2012,BE,6
6,6,Tia Hellebaut,2012,BE,7
7,7,Barbara Gandolfi,2012,BE,8
8,8,Astrid Bryan,2012,BE,9
9,9,Ilse Uyttersprot,2012,BE,10
0,0,Stromae,2013,BE,1
1,1,Lisa Smolders,2013,BE,2
2,2,Els Uytterhoeven,2013,BE,3
3,3,Wilfried Martens,2013,BE,4
4,4,Patrick de Witte,2013,BE,5
5,5,Luc Trullemans,2013,BE,6
6,6,Francesca Vanthielen,2013,BE,7
7,7,Noémie Happart,2013,BE,8
8,8,Roberto Bellarosa,2013,BE,9
9,9,Ann Ceurvelts,2013,BE,10
0,0,2eme main,2014,BE,1
1,1,WK 2014,2014,BE,2
2,2,iPhone 6,2014,BE,3
3,3,Netflix,2014,BE,4
4,4,Robin Williams,2014,BE,5
5,5,Nabilla,2014,BE,6
6,6,2048,2014,BE,7
7,7,Flappy Bird,2014,BE,8
8,8,Julie Gayet,2014,BE,9
9,9,Schumacher,2014,BE,10
0,0,Comment se connecter au reseau wifi,2015,BE,1
1,1,Comment mettre le drapeau français sur facebook,2015,BE,2
2,2,Comment installer windows 10,2015,BE,3
3,3,Comment faire une sauce pour les ribes,2015,BE,4
4,4,Comment recouvrir un cahier,2015,BE,5
5,5,Comment télécharger vidéo de YouTube,2015,BE,6
6,6,Comment tricher au Scrabble,2015,BE,7
7,7,Comment fabriquer des sous-verre perles à repasser,2015,BE,8
8,8,Comment aider les réfugiés,2015,BE,9
9,9,Comment supprimer un compte Skype,2015,BE,10
0,0,Pokemon Go-rage,2016,BE,1
1,1,Brexit,2016,BE,2
2,2,Amerikaanse verkiezingen / élections américaines,2016,BE,3
3,3,Aanslagen in Brussel / attentats Bruxelles,2016,BE,4
4,4,CETA-onderhandelingen / négociations CETA,2016,BE,5
5,5,Aanslagen in Nice / attentats Nice,2016,BE,6
6,6,Burkini-verbod / interdiction du burkini,2016,BE,7
7,7,Optima-schandaal / scandale Optima,2016,BE,8
